Game_ID,GAME_DATE,PTS,REB,AST,STL,BLK,TOV,PF,MIN,PER
0022301184,"APR 12, 2024",4,0,5,0,0,1,0,10,0.8
0022301132,"APR 07, 2024",22,5,5,0,0,2,3,26,1.0384615384615385
0022301126,"APR 05, 2024",13,10,15,0,0,5,1,33,0.9696969696969697
0022301114,"APR 04, 2024",20,6,8,1,0,1,0,38,0.8947368421052632
0022301101,"APR 02, 2024",6,5,8,1,0,5,0,31,0.4838709677419355
0022301079,"MAR 31, 2024",6,6,10,1,0,0,0,36,0.6388888888888888
0022301064,"MAR 29, 2024",11,8,4,4,0,4,1,37,0.5945945945945946
0022301052,"MAR 27, 2024",16,5,14,2,1,1,1,39,0.9230769230769231
0022301043,"MAR 25, 2024",11,3,7,1,0,1,3,34,0.5294117647058824
0022301028,"MAR 24, 2024",12,4,14,1,1,2,0,34,0.8823529411764706
0022301017,"MAR 22, 2024",15,5,10,1,1,2,1,36,0.8055555555555556
0022301003,"MAR 20, 2024",19,4,14,0,1,3,1,36,0.9444444444444444
0022300982,"MAR 17, 2024",9,6,9,1,1,3,2,36,0.5833333333333334
0022300944,"MAR 12, 2024",12,2,7,2,0,4,1,34,0.5294117647058824
0022300924,"MAR 10, 2024",13,5,11,0,0,5,4,36,0.5555555555555556
0022300917,"MAR 09, 2024",14,11,10,1,0,1,2,34,0.9705882352941176
0022300897,"MAR 06, 2024",21,5,7,1,1,2,2,39,0.7948717948717948
0022300880,"MAR 04, 2024",29,4,8,0,1,3,2,37,1.0
0022300873,"MAR 03, 2024",4,5,10,1,2,1,1,34,0.5882352941176471
0022300865,"MAR 01, 2024",28,4,8,0,3,3,1,25,1.56
0022300848,"FEB 28, 2024",23,3,9,1,0,4,1,40,0.775
0022300827,"FEB 25, 2024",20,5,8,0,0,3,3,35,0.7714285714285715
0022300807,"FEB 23, 2024",9,8,8,0,1,4,0,39,0.5641025641025641
0022300799,"FEB 22, 2024",17,6,2,1,0,3,2,29,0.7241379310344828
0022300789,"FEB 14, 2024",26,8,7,0,1,1,0,40,1.025
0022300770,"FEB 12, 2024",17,2,6,1,1,0,0,32,0.84375
0022300749,"FEB 10, 2024",14,6,8,1,1,5,1,36,0.6666666666666666
0022300731,"FEB 07, 2024",19,8,5,1,1,4,2,38,0.7368421052631579
0022300716,"FEB 05, 2024",30,8,10,2,1,2,3,39,1.1794871794871795
0022300708,"FEB 04, 2024",21,8,11,1,1,4,1,42,0.8809523809523809
0022300688,"FEB 02, 2024",4,3,6,1,0,1,1,34,0.35294117647058826
0022300676,"JAN 31, 2024",25,9,5,2,4,2,2,33,1.2424242424242424
0022300658,"JAN 29, 2024",11,7,10,1,1,3,2,39,0.6410256410256411
0022300646,"JAN 27, 2024",9,8,7,0,0,1,2,27,0.7777777777777778
0022300637,"JAN 26, 2024",22,10,13,1,1,1,3,35,1.2285714285714286
0022300618,"JAN 23, 2024",23,2,10,1,1,1,3,39,0.8461538461538461
0022300600,"JAN 21, 2024",24,5,10,2,1,4,2,38,0.9473684210526315
0022300568,"JAN 16, 2024",16,5,8,0,1,1,2,41,0.6585365853658537
0022300553,"JAN 14, 2024",14,1,8,2,2,4,3,36,0.5555555555555556
0022300537,"JAN 12, 2024",11,1,9,1,0,3,0,28,0.6785714285714286
0022300526,"JAN 10, 2024",14,5,11,1,0,3,4,34,0.7058823529411765
0022300511,"JAN 08, 2024",19,7,10,0,0,3,1,30,1.0666666666666667
0022300505,"JAN 07, 2024",15,4,9,1,0,5,3,39,0.5384615384615384
0022300486,"JAN 05, 2024",8,3,13,0,0,1,2,29,0.7241379310344828
0022300473,"JAN 03, 2024",22,5,11,0,1,4,2,36,0.9166666666666666
0022300458,"JAN 01, 2024",15,4,10,1,2,2,1,31,0.9354838709677419
0022300438,"DEC 29, 2023",16,4,13,0,3,5,1,44,0.6818181818181818
0022300414,"DEC 26, 2023",29,6,8,2,1,4,2,40,1.0
0022300389,"DEC 23, 2023",14,4,9,1,0,4,4,29,0.6896551724137931
0022300379,"DEC 21, 2023",23,9,6,3,1,3,1,34,1.1176470588235294
0022300372,"DEC 20, 2023",17,5,11,0,2,4,3,39,0.717948717948718
0022300350,"DEC 18, 2023",35,3,9,1,1,1,2,28,1.6428571428571428
0022300343,"DEC 16, 2023",10,4,12,1,2,1,3,28,0.8928571428571429
0022300325,"DEC 14, 2023",28,7,15,1,4,4,3,42,1.1428571428571428
0022300309,"DEC 12, 2023",15,6,7,2,0,2,3,28,0.8928571428571429
0022300304,"DEC 11, 2023",20,7,7,1,2,3,2,37,0.8648648648648649
0022301225,"DEC 08, 2023",12,7,8,0,1,2,2,34,0.7058823529411765
0022301215,"DEC 06, 2023",20,1,11,3,1,4,0,32,1.0
0022300280,"DEC 02, 2023",21,5,9,1,0,1,4,35,0.8857142857142857
0022300273,"NOV 30, 2023",18,3,7,1,0,1,3,37,0.6756756756756757
0022300264,"NOV 29, 2023",26,3,6,5,0,2,4,39,0.8717948717948718
0022300257,"NOV 27, 2023",11,2,4,1,0,3,3,36,0.3333333333333333
0022300244,"NOV 25, 2023",8,4,7,1,2,2,1,28,0.6785714285714286
0022300052,"NOV 24, 2023",8,5,10,4,1,3,3,37,0.5945945945945946
0022300235,"NOV 22, 2023",16,6,9,1,1,4,3,36,0.7222222222222222
0022300223,"NOV 20, 2023",13,3,10,2,0,0,2,28,0.9285714285714286
0022300037,"NOV 17, 2023",24,9,7,0,1,3,1,34,1.088235294117647
0022300024,"NOV 14, 2023",21,2,4,0,0,1,3,35,0.6571428571428571
0022300179,"NOV 12, 2023",11,4,3,1,1,1,0,29,0.6551724137931034
0022300014,"NOV 10, 2023",14,5,3,2,0,2,0,29,0.7586206896551724
0022300160,"NOV 08, 2023",12,8,5,2,0,5,0,36,0.6111111111111112
0022300151,"NOV 06, 2023",17,3,6,1,0,2,2,31,0.7419354838709677
