,Game_ID,WL,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS,PLAYER_ID,TEAM_ID
0,0022300084,1.0,33.0,10,1.0,12.0,10.0,2.0,0.0,4.0,1.0,34.0,13.0,25.0,3.0,11.0,4.0,7.0,4.0,1629029,1610612742
1,0022300106,1.0,41.0,12,1.0,10.5,8.5,1.0,0.0,2.0,1.0,35.0,14.5,25.0,6.0,12.5,6.0,8.5,6.5,1629029,1610612742
2,0022300124,1.0,39.0,7,0.6666666666666666,11.0,9.666666666666666,1.0,0.3333333333333333,3.3333333333333335,2.0,36.666666666666664,13.333333333333334,24.0,6.0,12.333333333333334,6.333333333333333,9.0,6.333333333333333,1629029,1610612742
3,0022300006,1.0,33.75,10,0.5,10.0,9.75,1.25,0.5,4.0,2.0,37.5,11.25,22.0,4.75,11.25,6.5,9.0,7.5,1629029,1610612742
4,0022300143,0.8,33.8,12,1.0,9.4,9.4,1.0,0.6,5.0,2.0,37.6,11.2,22.4,5.0,11.2,6.4,8.6,5.2,1629029,1610612742
5,0022300147,0.8333333333333334,32.0,3,1.0,9.666666666666666,9.333333333333334,0.8333333333333334,0.6666666666666666,4.833333333333333,2.1666666666666665,37.333333333333336,10.666666666666666,21.833333333333332,4.333333333333333,10.833333333333334,6.333333333333333,8.333333333333334,4.833333333333333,1629029,1610612742
6,0022300168,0.8571428571428571,31.571428571428573,7,0.8571428571428571,8.714285714285714,8.857142857142858,1.0,0.5714285714285714,5.0,2.142857142857143,37.0,10.428571428571429,21.142857142857142,4.428571428571429,10.714285714285714,6.285714285714286,8.0,5.142857142857143,1629029,1610612742
7,0022300014,0.75,31.5,6,0.75,8.5,8.75,1.375,0.625,4.875,2.25,37.125,10.5,21.75,4.125,10.625,6.375,8.25,3.625,1629029,1610612742
8,0022300183,0.7777777777777778,32.888888888888886,4,0.6666666666666666,8.222222222222221,8.444444444444445,1.3333333333333333,0.5555555555555556,4.444444444444445,2.111111111111111,36.55555555555556,11.222222222222221,21.666666666666668,4.333333333333333,10.444444444444445,6.111111111111111,7.777777777777778,6.777777777777778,1629029,1610612742
9,0022300022,0.8,32.6,2,0.6,7.8,8.5,1.3,0.5,4.2,1.9,35.7,11.2,21.3,4.3,10.3,5.9,7.5,7.5,1629029,1610612742
10,0022300192,0.7,30.9,7,0.6,6.7,7.7,1.1,0.5,4.6,1.8,34.9,10.4,20.4,4.3,9.7,5.8,7.3,4.5,1629029,1610612742
11,0022300205,0.7,28.6,9,0.6,6.4,8.0,1.1,0.5,4.9,1.9,34.5,9.5,19.7,3.8,9.4,5.8,7.5,4.8,1629029,1610612742
12,0022300212,0.6,28.6,10,0.7,6.0,7.7,1.0,0.4,4.6,1.6,34.0,9.9,20.1,3.6,9.1,5.2,6.9,2.5,1629029,1610612742
13,0022300238,0.5,29.3,12,0.8,6.2,7.4,1.1,0.3,4.2,1.4,33.2,10.1,20.4,3.8,9.0,5.3,7.0,0.0,1629029,1610612742
14,0022300244,0.6,28.9,3,0.5,6.7,7.4,1.3,0.2,3.3,1.4,33.3,10.0,20.6,3.5,9.1,5.4,7.1,-0.7,1629029,1610612742
15,0022300059,0.5,29.6,9,0.4,5.9,6.9,1.5,0.3,3.3,1.5,33.5,10.4,21.4,3.5,9.0,5.3,6.9,-2.4,1629029,1610612742
16,0022300287,0.5,30.8,15,0.4,6.5,7.2,1.5,0.3,2.7,1.6,33.8,11.0,22.6,3.3,9.0,5.5,7.2,-1.9,1629029,1610612742
17,0022301213,0.5,31.3,10,0.6,7.1,8.2,1.3,0.4,3.0,1.5,34.6,11.0,22.2,3.6,9.3,5.7,7.6,-1.9,1629029,1610612742
18,0022301226,0.5,30.9,6,0.8,7.3,8.7,1.3,0.4,3.3,1.6,34.6,10.7,22.6,3.6,9.6,5.9,8.0,-1.7,1629029,1610612742
19,0022300299,0.5,31.1,8,0.8,7.5,8.8,1.3,0.5,3.6,1.7,35.9,10.7,23.6,3.5,10.1,6.2,8.3,-1.8,1629029,1610612742
20,0022300306,0.6,33.0,6,0.7,8.2,9.2,1.5,0.7,3.1,2.0,37.7,11.1,24.1,3.7,10.6,7.1,9.1,1.1,1629029,1610612742
